,USDCAD=X,USDCAD=X,USDCAD=X,USDCAD=X,USDCAD=X,USDCAD=X,^VIX,^VIX,^VIX,^VIX,^VIX,^VIX,^GSPTSE,^GSPTSE,^GSPTSE,^GSPTSE,^GSPTSE,^GSPTSE,^GSPC,^GSPC,^GSPC,^GSPC,^GSPC,^GSPC
2018-03-28,1.2878799438476562,1.2928800582885742,1.2862999439239502,1.287850022315979,1.287850022315979,0.0,22.520000457763672,24.940000534057617,21.709999084472656,22.8700008392334,22.8700008392334,0.0,15198.7001953125,15232.0,15150.5,15169.900390625,15169.900390625,21470500000.0,2611.300048828125,2632.64990234375,2593.06005859375,2605.0,2605.0,3864500000.0
2018-03-29,1.2918000221252441,1.2930099964141846,1.2864799499511719,1.291890025138855,1.291890025138855,0.0,22.8700008392334,23.049999237060547,19.600000381469727,19.969999313354492,19.969999313354492,0.0,15224.2998046875,15390.7998046875,15204.0,15367.2998046875,15367.2998046875,22729410000.0,2614.409912109375,2659.070068359375,2609.719970703125,2640.8701171875,2640.8701171875,3565990000.0
2018-04-02,1.2893199920654297,1.2928999662399292,1.286329984664917,1.289289951324463,1.289289951324463,0.0,21.06999969482422,25.719999313354492,20.440000534057617,23.6200008392334,23.6200008392334,0.0,15351.2001953125,15351.2001953125,15157.2998046875,15213.5,15213.5,16674260000.0,2633.449951171875,2638.300048828125,2553.800048828125,2581.8798828125,2581.8798828125,3598520000.0
2018-04-03,1.2920500040054321,1.2921299934387207,1.2781399488449097,1.292099952697754,1.292099952697754,0.0,23.030000686645508,23.3799991607666,20.920000076293945,21.100000381469727,21.100000381469727,0.0,15215.099609375,15228.0,15104.2001953125,15180.7998046875,15180.7998046875,19912170000.0,2592.169921875,2619.139892578125,2575.489990234375,2614.449951171875,2614.449951171875,3392810000.0
2018-04-04,1.280500054359436,1.2845499515533447,1.2774399518966675,1.2806199789047241,1.2806199789047241,0.0,21.68000030517578,24.510000228881836,19.860000610351562,20.059999465942383,20.059999465942383,0.0,15050.900390625,15180.099609375,14991.2001953125,15164.400390625,15164.400390625,22778960000.0,2584.0400390625,2649.860107421875,2573.610107421875,2644.68994140625,2644.68994140625,3350340000.0
2018-04-05,1.2753000259399414,1.2802799940109253,1.2745699882507324,1.2754499912261963,1.2754499912261963,0.0,19.760000228881836,20.209999084472656,18.56999969482422,18.940000534057617,18.940000534057617,0.0,15194.599609375,15371.400390625,15187.2001953125,15356.099609375,15356.099609375,21460890000.0,2657.360107421875,2672.080078125,2649.580078125,2662.840087890625,2662.840087890625,3178970000.0
2018-04-06,1.2769299745559692,1.2795300483703613,1.2733999490737915,1.276919960975647,1.276919960975647,0.0,20.329999923706055,23.1200008392334,18.600000381469727,21.489999771118164,21.489999771118164,0.0,15294.7998046875,15367.099609375,15160.599609375,15207.400390625,15207.400390625,20046710000.0,2645.820068359375,2656.8798828125,2586.27001953125,2604.469970703125,2604.469970703125,3299700000.0
2018-04-09,1.2781000137329102,1.281690001487732,1.27006995677948,1.2778700590133667,1.2778700590133667,0.0,21.270000457763672,22.020000457763672,20.34000015258789,21.770000457763672,21.770000457763672,0.0,15268.400390625,15320.5,15216.0,15227.7001953125,15227.7001953125,17446840000.0,2617.179931640625,2653.550048828125,2610.7900390625,2613.159912109375,2613.159912109375,3062960000.0
2018-04-10,1.2703700065612793,1.2705199718475342,1.260349988937378,1.2702000141143799,1.2702000141143799,0.0,20.510000228881836,21.68000030517578,20.239999771118164,20.469999313354492,20.469999313354492,0.0,15339.7998046875,15339.7998046875,15252.7998046875,15262.099609375,15262.099609375,21289600000.0,2638.409912109375,2665.449951171875,2635.780029296875,2656.8701171875,2656.8701171875,3543930000.0
2018-04-11,1.2594599723815918,1.262220025062561,1.2546499967575073,1.2593400478363037,1.2593400478363037,0.0,20.950000762939453,21.65999984741211,19.639999389648438,20.239999771118164,20.239999771118164,0.0,15234.400390625,15318.900390625,15231.7998046875,15257.900390625,15257.900390625,22995060000.0,2643.889892578125,2661.429931640625,2639.25,2642.18994140625,2642.18994140625,3020760000.0
